symptoms,predicted_condition,followup_questions
"sleep_disturbance, excessive_worry, trouble_concentrating, rapid_heartbeat, fatigue",Anxiety ,"['Does anything help relieve your rapid heartbeat?', 'On a scale of 1 to 10, how severe is your excessive worry?', 'How long have you experienced sleep disturbance?', 'Have you talked to anyone about your trouble concentrating?', 'How do you usually cope with fatigue?']"
"restlessness, excessive_worry, fatigue, sleep_disturbance, trouble_concentrating, rapid_heartbeat",Anxiety ,"['Does anything help relieve your fatigue?', 'Does excessive worry affect your daily functioning?', 'Is restlessness interfering with your relationships or work?', 'Does trouble concentrating affect your daily functioning?', 'On a scale of 1 to 10, how severe is your rapid heartbeat?']"
"excessive_worry, restlessness, rapid_heartbeat, fatigue, trouble_concentrating",Anxiety ,"['Does rapid heartbeat affect your daily functioning?', 'Is there a specific event that triggered your trouble concentrating?', 'Have you had professional help for excessive worry before?', 'How long have you experienced fatigue?', 'How do you usually cope with restlessness?']"
"trouble_concentrating, rapid_heartbeat, sleep_disturbance, excessive_worry, sweating, restlessness",Anxiety ,"['Is there a specific event that triggered your sleep disturbance?', 'Have you talked to anyone about your excessive worry?', 'How do you usually cope with restlessness?', 'Is there a specific event that triggered your sweating?', 'How long have you experienced rapid heartbeat?']"
"sleep_disturbance, fatigue, trouble_concentrating, sweating, excessive_worry, rapid_heartbeat",Anxiety ,"['How long have you experienced excessive worry?', 'On a scale of 1 to 10, how severe is your sleep disturbance?', 'How long have you experienced trouble concentrating?', 'How long have you experienced rapid heartbeat?', 'How long have you experienced sweating?']"
"wandering, sudden_onset_of_amnesia, confusion, trouble_remembering_daily_tasks, loss_of_identity",Dissociative Amnesia,"['On a scale of 1 to 10, how severe is your trouble remembering daily tasks?', 'Is there a specific event that triggered your confusion?', 'Does anything help relieve your wandering?', 'Does anything help relieve your loss of identity?', 'Have you had professional help for sudden onset of amnesia before?']"
"trouble_remembering_daily_tasks, wandering, confusion, emotional_numbness, sudden_onset_of_amnesia",Dissociative Amnesia,"['Have you talked to anyone about your trouble remembering daily tasks?', 'Is wandering interfering with your relationships or work?', 'Does anything help relieve your confusion?', 'How do you usually cope with emotional numbness?', 'On a scale of 1 to 10, how severe is your sudden onset of amnesia?']"
"trouble_remembering_daily_tasks, emotional_numbness, sudden_onset_of_amnesia, confusion, loss_of_identity",Dissociative Amnesia,"['Does sudden onset of amnesia affect your daily functioning?', 'Have you had professional help for loss of identity before?', 'Does confusion affect your daily functioning?', 'Is trouble remembering daily tasks interfering with your relationships or work?', 'How long have you experienced emotional numbness?']"
"loss_of_identity, emotional_numbness, wandering, confusion, trouble_remembering_daily_tasks",Dissociative Amnesia,"['Does anything help relieve your confusion?', 'Is there a specific event that triggered your loss of identity?', 'Have you talked to anyone about your wandering?', 'How do you usually cope with emotional numbness?', 'Do you notice trouble remembering daily tasks getting worse over time?']"
"confusion, wandering, trouble_remembering_daily_tasks, sudden_onset_of_amnesia",Dissociative Amnesia,"['How long have you experienced wandering?', 'Does anything help relieve your sudden onset of amnesia?', 'Do you notice confusion getting worse over time?', 'Have you had professional help for trouble remembering daily tasks before?']"
"physical_complaints_when_separated, fear_of_being_alone, intense_fear_of_being_away_from_attachment_figures, persisitent_worry_about_losing_attachement_figures, clingy_behavior_and_need_for_constant_reassuarance, difficulty_sleeping_without_attachment_figure_nearby",Separation Anxiety Disorder,"['Does anything help relieve your persisitent worry about losing attachement figures?', 'Is physical complaints when separated interfering with your relationships or work?', 'Do you notice difficulty sleeping without attachment figure nearby getting worse over time?', 'Is there a specific event that triggered your clingy behavior and need for constant reassuarance?', 'Have you talked to anyone about your fear of being alone?']"
"fear_of_being_alone, clingy_behavior_and_need_for_constant_reassuarance, intense_fear_of_being_away_from_attachment_figures, persisitent_worry_about_losing_attachement_figures, physical_complaints_when_separated, reluctance",Separation Anxiety Disorder,"['Have you talked to anyone about your fear of being alone?', 'How do you usually cope with intense fear of being away from attachment figures?', 'Have you had professional help for persisitent worry about losing attachement figures before?', 'Do you notice clingy behavior and need for constant reassuarance getting worse over time?', 'How do you usually cope with physical complaints when separated?']"
"intense_fear_of_being_away_from_attachment_figures, persisitent_worry_about_losing_attachement_figures, difficulty_sleeping_without_attachment_figure_nearby, fear_of_being_alone",Separation Anxiety Disorder,"['Do you notice persisitent worry about losing attachement figures getting worse over time?', 'Have you talked to anyone about your difficulty sleeping without attachment figure nearby?', 'Is there a specific event that triggered your intense fear of being away from attachment figures?', 'Do you notice fear of being alone getting worse over time?']"
"reluctance, fear_of_being_alone, difficulty_sleeping_without_attachment_figure_nearby, clingy_behavior_and_need_for_constant_reassuarance, persisitent_worry_about_losing_attachement_figures",Separation Anxiety Disorder,"['Does anything help relieve your reluctance?', 'Do you notice persisitent worry about losing attachement figures getting worse over time?', 'How do you usually cope with difficulty sleeping without attachment figure nearby?', 'Do you notice clingy behavior and need for constant reassuarance getting worse over time?', 'Have you talked to anyone about your fear of being alone?']"
"clingy_behavior_and_need_for_constant_reassuarance, difficulty_sleeping_without_attachment_figure_nearby, persisitent_worry_about_losing_attachement_figures, reluctance, fear_of_being_alone",Separation Anxiety Disorder,"['Have you talked to anyone about your difficulty sleeping without attachment figure nearby?', 'How do you usually cope with fear of being alone?', 'Do you notice persisitent worry about losing attachement figures getting worse over time?', 'Have you had professional help for clingy behavior and need for constant reassuarance before?', 'Is there a specific event that triggered your reluctance?']"
"inability_to_control, using_more_of_the_substance, neglecting_responsibilites, continued_use_despite_social_problems, physical_and_psychological_problems",Substance Use Disorder,"['On a scale of 1 to 10, how severe is your continued use despite social problems?', 'How do you usually cope with using more of the substance?', 'Have you talked to anyone about your physical and psychological problems?', 'Does anything help relieve your neglecting responsibilites?', 'Does anything help relieve your inability to control?']"
"strong_carvings, using_more_of_the_substance, inability_to_control, giving_up_important_activites, tolerance, withdrawal_symptoms",Substance Use Disorder,"['How do you usually cope with using more of the substance?', 'Does anything help relieve your withdrawal symptoms?', 'Does anything help relieve your tolerance?', 'Have you had professional help for strong carvings before?', 'Is there a specific event that triggered your inability to control?']"
"neglecting_responsibilites, giving_up_important_activites, strong_carvings, physical_and_psychological_problems",Substance Use Disorder,"['Is there a specific event that triggered your physical and psychological problems?', 'Do you notice giving up important activites getting worse over time?', 'Is neglecting responsibilites interfering with your relationships or work?', 'Does anything help relieve your strong carvings?']"
"physical_and_psychological_problems, strong_carvings, inability_to_control, giving_up_important_activites, neglecting_responsibilites",Substance Use Disorder,"['Does anything help relieve your neglecting responsibilites?', 'How do you usually cope with inability to control?', 'Have you talked to anyone about your physical and psychological problems?', 'Is giving up important activites interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your strong carvings?']"
"giving_up_important_activites, strong_carvings, continued_use_despite_social_problems, using_more_of_the_substance, tolerance, inability_to_control",Substance Use Disorder,"['On a scale of 1 to 10, how severe is your tolerance?', 'Is there a specific event that triggered your inability to control?', 'Is there a specific event that triggered your strong carvings?', 'Is giving up important activites interfering with your relationships or work?', 'Do you notice continued use despite social problems getting worse over time?']"
"muscle_tension, nausea, feeling_easily_tired, sleep_disturbance",Generalized Anxiety Disorder (GAD),"['Does feeling easily tired affect your daily functioning?', 'Have you talked to anyone about your nausea?', 'Does anything help relieve your sleep disturbance?', 'Do you notice muscle tension getting worse over time?']"
"irritability, feeling_easily_tired, muscle_tension, stomachaches, overthinking",Generalized Anxiety Disorder (GAD),"['How do you usually cope with irritability?', 'Is feeling easily tired interfering with your relationships or work?', 'How long have you experienced muscle tension?', 'Is there a specific event that triggered your stomachaches?', 'Do you notice overthinking getting worse over time?']"
"sleep_disturbance, nausea, overthinking, irritability",Generalized Anxiety Disorder (GAD),"['How long have you experienced irritability?', 'Is there a specific event that triggered your sleep disturbance?', 'How do you usually cope with overthinking?', 'Do you notice nausea getting worse over time?']"
"irritability, headache, overthinking, stomachaches, muscle_tension, feeling_easily_tired",Generalized Anxiety Disorder (GAD),"['Does irritability affect your daily functioning?', 'How do you usually cope with overthinking?', 'How long have you experienced stomachaches?', 'Does anything help relieve your feeling easily tired?', 'Have you talked to anyone about your headache?']"
"nausea, overthinking, feeling_easily_tired, stomachaches",Generalized Anxiety Disorder (GAD),"['How long have you experienced nausea?', 'Is overthinking interfering with your relationships or work?', 'Do you notice stomachaches getting worse over time?', 'Have you talked to anyone about your feeling easily tired?']"
"feeling_disconnected_from_surroundings, difficulty_functioning_in_daily_life, blackouts, suicidal_thoughts",Dissociative Identity Disorder,"['On a scale of 1 to 10, how severe is your suicidal thoughts?', 'On a scale of 1 to 10, how severe is your difficulty functioning in daily life?', 'Is there a specific event that triggered your blackouts?', 'On a scale of 1 to 10, how severe is your feeling disconnected from surroundings?']"
"suicidal_thoughts, difficulty_functioning_in_daily_life, blackouts, presence_of_two_or_more_distinct_identities, hearing_voices",Dissociative Identity Disorder,"['How long have you experienced suicidal thoughts?', 'How do you usually cope with difficulty functioning in daily life?', 'Does hearing voices affect your daily functioning?', 'How long have you experienced blackouts?', 'How long have you experienced presence of two or more distinct identities?']"
"difficulty_functioning_in_daily_life, blackouts, feeling_detached_from_oneself, presence_of_two_or_more_distinct_identities, suicidal_thoughts, hearing_voices",Dissociative Identity Disorder,"['Does anything help relieve your blackouts?', 'Does hearing voices affect your daily functioning?', 'Does feeling detached from oneself affect your daily functioning?', 'Have you talked to anyone about your difficulty functioning in daily life?', 'On a scale of 1 to 10, how severe is your presence of two or more distinct identities?']"
"blackouts, hearing_voices, presence_of_two_or_more_distinct_identities, suicidal_thoughts, feeling_disconnected_from_surroundings, feeling_detached_from_oneself",Dissociative Identity Disorder,"['Have you talked to anyone about your blackouts?', 'Is there a specific event that triggered your hearing voices?', 'Have you had professional help for feeling disconnected from surroundings before?', 'Is there a specific event that triggered your presence of two or more distinct identities?', 'Does feeling detached from oneself affect your daily functioning?']"
"presence_of_two_or_more_distinct_identities, hearing_voices, blackouts, difficulty_functioning_in_daily_life, feeling_disconnected_from_surroundings",Dissociative Identity Disorder,"['Is difficulty functioning in daily life interfering with your relationships or work?', 'Have you talked to anyone about your hearing voices?', 'How long have you experienced blackouts?', 'How do you usually cope with feeling disconnected from surroundings?', 'Is there a specific event that triggered your presence of two or more distinct identities?']"
"difficulty_sleeping_without_attachment_figure_nearby, fear_of_being_alone, nightmares_involving_sepration_themes, excessive_distress_when_anticipating_sepration",Separation Anxiety Disorder,"['Does excessive distress when anticipating sepration affect your daily functioning?', 'Does anything help relieve your fear of being alone?', 'Does difficulty sleeping without attachment figure nearby affect your daily functioning?', 'Does nightmares involving sepration themes affect your daily functioning?']"
"excessive_distress_when_anticipating_sepration, difficulty_sleeping_without_attachment_figure_nearby, persisitent_worry_about_losing_attachement_figures, physical_complaints_when_separated, nightmares_involving_sepration_themes, fear_of_being_alone",Separation Anxiety Disorder,"['Have you talked to anyone about your difficulty sleeping without attachment figure nearby?', 'Do you notice fear of being alone getting worse over time?', 'Does excessive distress when anticipating sepration affect your daily functioning?', 'Have you talked to anyone about your nightmares involving sepration themes?', 'Have you had professional help for persisitent worry about losing attachement figures before?']"
"persisitent_worry_about_losing_attachement_figures, fear_of_being_alone, difficulty_sleeping_without_attachment_figure_nearby, excessive_distress_when_anticipating_sepration",Separation Anxiety Disorder,"['How long have you experienced difficulty sleeping without attachment figure nearby?', 'Does anything help relieve your fear of being alone?', 'How do you usually cope with persisitent worry about losing attachement figures?', 'Does anything help relieve your excessive distress when anticipating sepration?']"
"difficulty_sleeping_without_attachment_figure_nearby, physical_complaints_when_separated, excessive_distress_when_anticipating_sepration, nightmares_involving_sepration_themes",Separation Anxiety Disorder,"['Have you had professional help for physical complaints when separated before?', 'On a scale of 1 to 10, how severe is your nightmares involving sepration themes?', 'Does anything help relieve your difficulty sleeping without attachment figure nearby?', 'Is there a specific event that triggered your excessive distress when anticipating sepration?']"
"difficulty_sleeping_without_attachment_figure_nearby, persisitent_worry_about_losing_attachement_figures, physical_complaints_when_separated, excessive_distress_when_anticipating_sepration, nightmares_involving_sepration_themes, fear_of_being_alone",Separation Anxiety Disorder,"['How do you usually cope with difficulty sleeping without attachment figure nearby?', 'Is fear of being alone interfering with your relationships or work?', 'Does excessive distress when anticipating sepration affect your daily functioning?', 'Does anything help relieve your physical complaints when separated?', 'Is there a specific event that triggered your persisitent worry about losing attachement figures?']"
"difficulty_making_eye_contact, intense_fear_of_social_situations, avoid_eating_in_public, avoidance_of_social_activity, significant_distress_in_daily_life, low_self-esteem",Social Anxiety Disorder,"['Have you talked to anyone about your avoid eating in public?', 'Is there a specific event that triggered your intense fear of social situations?', 'Is significant distress in daily life interfering with your relationships or work?', 'Have you talked to anyone about your avoidance of social activity?', 'Does anything help relieve your low self-esteem?']"
"avoidance_of_social_activity, intense_fear_of_social_situations, significant_distress_in_daily_life, difficulty_making_eye_contact",Social Anxiety Disorder,"['How long have you experienced avoidance of social activity?', 'Is significant distress in daily life interfering with your relationships or work?', 'Have you had professional help for difficulty making eye contact before?', 'How do you usually cope with intense fear of social situations?']"
"significant_distress_in_daily_life, difficulty_making_eye_contact, intense_fear_of_social_situations, avoid_eating_in_public, physical_symptoms_in_social_settings, avoidance_of_social_activity",Social Anxiety Disorder,"['How long have you experienced difficulty making eye contact?', 'Is avoid eating in public interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your physical symptoms in social settings?', 'How long have you experienced significant distress in daily life?', 'On a scale of 1 to 10, how severe is your avoidance of social activity?']"
"avoid_eating_in_public, intense_fear_of_social_situations, avoidance_of_social_activity, difficulty_making_eye_contact",Social Anxiety Disorder,"['Do you notice intense fear of social situations getting worse over time?', 'Have you had professional help for avoidance of social activity before?', 'How long have you experienced difficulty making eye contact?', 'Is avoid eating in public interfering with your relationships or work?']"
"intense_fear_of_social_situations, avoid_eating_in_public, avoidance_of_social_activity, physical_symptoms_in_social_settings",Social Anxiety Disorder,"['Have you had professional help for intense fear of social situations before?', 'How do you usually cope with avoidance of social activity?', 'Is avoid eating in public interfering with your relationships or work?', 'Is physical symptoms in social settings interfering with your relationships or work?']"
"poor_organizational_skill, forgetfulness_in_daily_activities, easily_distracted, excessive_talking",ADHD (Attention Deficit Hyperactivity Disorder),"['Does anything help relieve your forgetfulness in daily activities?', 'Do you notice excessive talking getting worse over time?', 'On a scale of 1 to 10, how severe is your easily distracted?', 'Does anything help relieve your poor organizational skill?']"
"poor_organizational_skill, difficulty_being_patient, forgetfulness_in_daily_activities, excessive_talking",ADHD (Attention Deficit Hyperactivity Disorder),"['Does excessive talking affect your daily functioning?', 'How long have you experienced forgetfulness in daily activities?', 'Do you notice difficulty being patient getting worse over time?', 'On a scale of 1 to 10, how severe is your poor organizational skill?']"
"difficulty_being_patient, easily_distracted, difficulty_sustaining_attention, forgetfulness_in_daily_activities, poor_organizational_skill",ADHD (Attention Deficit Hyperactivity Disorder),"['Is easily distracted interfering with your relationships or work?', 'Is difficulty being patient interfering with your relationships or work?', 'Does anything help relieve your forgetfulness in daily activities?', 'On a scale of 1 to 10, how severe is your difficulty sustaining attention?', 'Does anything help relieve your poor organizational skill?']"
"excessive_talking, easily_distracted, poor_organizational_skill, forgetfulness_in_daily_activities, difficulty_sustaining_attention, difficulty_being_patient",ADHD (Attention Deficit Hyperactivity Disorder),"['Does difficulty being patient affect your daily functioning?', 'How long have you experienced excessive talking?', 'Have you talked to anyone about your forgetfulness in daily activities?', 'Does anything help relieve your difficulty sustaining attention?', 'How long have you experienced poor organizational skill?']"
"easily_distracted, difficulty_being_patient, forgetfulness_in_daily_activities, difficulty_sustaining_attention, interrupting_others",ADHD (Attention Deficit Hyperactivity Disorder),"['Do you notice interrupting others getting worse over time?', 'Does anything help relieve your difficulty sustaining attention?', 'Is difficulty being patient interfering with your relationships or work?', 'Is forgetfulness in daily activities interfering with your relationships or work?', 'How do you usually cope with easily distracted?']"
"appetite_change, insomnia, diminished_ability_to_think, recurrent_thoughts_of_death",Major Depressive Disorder,"['Is insomnia interfering with your relationships or work?', 'How do you usually cope with recurrent thoughts of death?', 'Have you had professional help for diminished ability to think before?', 'Do you notice appetite change getting worse over time?']"
"diminished_ability_to_think, insomnia, withdrawal_from_social_life, fatigue, depressed_mood_most_of_the_way",Major Depressive Disorder,"['On a scale of 1 to 10, how severe is your diminished ability to think?', 'Have you had professional help for fatigue before?', 'Have you talked to anyone about your depressed mood most of the way?', 'Have you talked to anyone about your insomnia?', 'Does withdrawal from social life affect your daily functioning?']"
"loss_of_interest, fatigue, appetite_change, diminished_ability_to_think, recurrent_thoughts_of_death, withdrawal_from_social_life",Major Depressive Disorder,"['Have you talked to anyone about your recurrent thoughts of death?', 'Do you notice loss of interest getting worse over time?', 'Have you talked to anyone about your diminished ability to think?', 'On a scale of 1 to 10, how severe is your appetite change?', 'How do you usually cope with withdrawal from social life?']"
"loss_of_interest, withdrawal_from_social_life, depressed_mood_most_of_the_way, insomnia, recurrent_thoughts_of_death",Major Depressive Disorder,"['Do you notice loss of interest getting worse over time?', 'On a scale of 1 to 10, how severe is your depressed mood most of the way?', 'Is withdrawal from social life interfering with your relationships or work?', 'How long have you experienced insomnia?', 'Does recurrent thoughts of death affect your daily functioning?']"
"depressed_mood_most_of_the_way, insomnia, diminished_ability_to_think, withdrawal_from_social_life, recurrent_thoughts_of_death, loss_of_interest",Major Depressive Disorder,"['Does anything help relieve your loss of interest?', 'Have you had professional help for depressed mood most of the way before?', 'Do you notice withdrawal from social life getting worse over time?', 'Do you notice recurrent thoughts of death getting worse over time?', 'On a scale of 1 to 10, how severe is your diminished ability to think?']"
"feeling_easily_tired, stomachaches, overthinking, irritability, muscle_tension",Generalized Anxiety Disorder (GAD),"['Is there a specific event that triggered your irritability?', 'Do you notice muscle tension getting worse over time?', 'Does anything help relieve your overthinking?', 'Does stomachaches affect your daily functioning?', 'Does feeling easily tired affect your daily functioning?']"
"overthinking, stomachaches, irritability, muscle_tension, feeling_easily_tired",Generalized Anxiety Disorder (GAD),"['Does muscle tension affect your daily functioning?', 'Have you talked to anyone about your feeling easily tired?', 'Is there a specific event that triggered your irritability?', 'Is there a specific event that triggered your overthinking?', 'On a scale of 1 to 10, how severe is your stomachaches?']"
"overthinking, stomachaches, mind_going_blank, muscle_tension",Generalized Anxiety Disorder (GAD),"['Does muscle tension affect your daily functioning?', 'Have you talked to anyone about your stomachaches?', 'How do you usually cope with mind going blank?', 'Do you notice overthinking getting worse over time?']"
"stomachaches, mind_going_blank, muscle_tension, irritability",Generalized Anxiety Disorder (GAD),"['On a scale of 1 to 10, how severe is your mind going blank?', 'On a scale of 1 to 10, how severe is your stomachaches?', 'On a scale of 1 to 10, how severe is your muscle tension?', 'Does irritability affect your daily functioning?']"
"sleep_disturbance, overthinking, mind_going_blank, stomachaches, muscle_tension",Generalized Anxiety Disorder (GAD),"['On a scale of 1 to 10, how severe is your sleep disturbance?', 'Does muscle tension affect your daily functioning?', 'Have you talked to anyone about your stomachaches?', 'Have you talked to anyone about your overthinking?', 'How long have you experienced mind going blank?']"
"sleep_dissatisfaction_despite_adequate_opportunity, waking_up_too_early, memory_problems, mood_disturbance_due_to_poor_sleep, worry_about_sleep_problems",Insomnia,"['Does memory problems affect your daily functioning?', 'Does anything help relieve your sleep dissatisfaction despite adequate opportunity?', 'Do you notice mood disturbance due to poor sleep getting worse over time?', 'Does worry about sleep problems affect your daily functioning?', 'On a scale of 1 to 10, how severe is your waking up too early?']"
"daytime_fatigue, mood_disturbance_due_to_poor_sleep, sleep_dissatisfaction_despite_adequate_opportunity, memory_problems",Insomnia,"['Is daytime fatigue interfering with your relationships or work?', 'Have you talked to anyone about your memory problems?', 'On a scale of 1 to 10, how severe is your sleep dissatisfaction despite adequate opportunity?', 'Does anything help relieve your mood disturbance due to poor sleep?']"
"sleep_dissatisfaction_despite_adequate_opportunity, mood_disturbance_due_to_poor_sleep, memory_problems, tension_headaches, daytime_fatigue",Insomnia,"['Does memory problems affect your daily functioning?', 'Is mood disturbance due to poor sleep interfering with your relationships or work?', 'How long have you experienced sleep dissatisfaction despite adequate opportunity?', 'Do you notice daytime fatigue getting worse over time?', 'On a scale of 1 to 10, how severe is your tension headaches?']"
"worry_about_sleep_problems, daytime_fatigue, tension_headaches, impaired_daytime_functioning, mood_disturbance_due_to_poor_sleep, memory_problems",Insomnia,"['Have you had professional help for memory problems before?', 'How long have you experienced impaired daytime functioning?', 'Does tension headaches affect your daily functioning?', 'Is mood disturbance due to poor sleep interfering with your relationships or work?', 'Have you talked to anyone about your worry about sleep problems?']"
"worry_about_sleep_problems, tension_headaches, sleep_dissatisfaction_despite_adequate_opportunity, impaired_daytime_functioning",Insomnia,"['Does anything help relieve your sleep dissatisfaction despite adequate opportunity?', 'Do you notice worry about sleep problems getting worse over time?', 'Have you had professional help for tension headaches before?', 'Is there a specific event that triggered your impaired daytime functioning?']"
"avoidance_of_reminders_of_the_trauma, sleep_disturbance, angry_outbursts, difficulty_concentrating, negative_changes",Post-Traumatic Stress Disorder (PTSD),"['On a scale of 1 to 10, how severe is your angry outbursts?', 'Is there a specific event that triggered your difficulty concentrating?', 'Is there a specific event that triggered your sleep disturbance?', 'Does negative changes affect your daily functioning?', 'Have you had professional help for avoidance of reminders of the trauma before?']"
"difficulty_concentrating, feeling_of_detachment, negative_changes, avoidance_of_reminders_of_the_trauma, angry_outbursts",Post-Traumatic Stress Disorder (PTSD),"['Do you notice difficulty concentrating getting worse over time?', 'Do you notice avoidance of reminders of the trauma getting worse over time?', 'Is there a specific event that triggered your feeling of detachment?', 'Does angry outbursts affect your daily functioning?', 'Does anything help relieve your negative changes?']"
"negative_changes, sleep_disturbance, difficulty_concentrating, feeling_of_detachment, angry_outbursts",Post-Traumatic Stress Disorder (PTSD),"['Is angry outbursts interfering with your relationships or work?', 'Have you had professional help for sleep disturbance before?', 'How long have you experienced feeling of detachment?', 'Does anything help relieve your difficulty concentrating?', 'Do you notice negative changes getting worse over time?']"
"angry_outbursts, difficulty_concentrating, feeling_of_detachment, negative_changes, sleep_disturbance, avoidance_of_reminders_of_the_trauma",Post-Traumatic Stress Disorder (PTSD),"['How long have you experienced angry outbursts?', 'Have you had professional help for difficulty concentrating before?', 'Does feeling of detachment affect your daily functioning?', 'Does anything help relieve your sleep disturbance?', 'Do you notice avoidance of reminders of the trauma getting worse over time?']"
"avoidance_of_reminders_of_the_trauma, difficulty_concentrating, angry_outbursts, feeling_of_detachment",Post-Traumatic Stress Disorder (PTSD),"['Do you notice angry outbursts getting worse over time?', 'Have you talked to anyone about your difficulty concentrating?', 'Have you had professional help for avoidance of reminders of the trauma before?', 'How long have you experienced feeling of detachment?']"
"feeling_of_detachment, hypervigilance, nightmares, negative_changes, difficulty_concentrating",Post-Traumatic Stress Disorder (PTSD),"['How do you usually cope with difficulty concentrating?', 'How do you usually cope with feeling of detachment?', 'On a scale of 1 to 10, how severe is your negative changes?', 'Does nightmares affect your daily functioning?', 'How do you usually cope with hypervigilance?']"
"flashbacks, negative_changes, hypervigilance, feeling_of_detachment, difficulty_concentrating, nightmares",Post-Traumatic Stress Disorder (PTSD),"['Is there a specific event that triggered your flashbacks?', 'Is hypervigilance interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your negative changes?', 'Have you talked to anyone about your feeling of detachment?', 'Does anything help relieve your difficulty concentrating?']"
"nightmares, flashbacks, difficulty_concentrating, hypervigilance, feeling_of_detachment",Post-Traumatic Stress Disorder (PTSD),"['How do you usually cope with difficulty concentrating?', 'On a scale of 1 to 10, how severe is your hypervigilance?', 'Does feeling of detachment affect your daily functioning?', 'Does flashbacks affect your daily functioning?', 'Do you notice nightmares getting worse over time?']"
"negative_changes, difficulty_concentrating, nightmares, feeling_of_detachment",Post-Traumatic Stress Disorder (PTSD),"['Is nightmares interfering with your relationships or work?', 'Have you talked to anyone about your difficulty concentrating?', 'Do you notice feeling of detachment getting worse over time?', 'Is there a specific event that triggered your negative changes?']"
"difficulty_concentrating, nightmares, feeling_of_detachment, negative_changes",Post-Traumatic Stress Disorder (PTSD),"['Does negative changes affect your daily functioning?', 'Is feeling of detachment interfering with your relationships or work?', 'Have you had professional help for nightmares before?', 'Does difficulty concentrating affect your daily functioning?']"
"restlessness, rapid_heartbeat, irritability, shortness_of_breath, muscle_tension, trouble_concentrating",Anxiety ,"['How do you usually cope with shortness of breath?', 'Does muscle tension affect your daily functioning?', 'Does rapid heartbeat affect your daily functioning?', 'Does anything help relieve your irritability?', 'Does anything help relieve your trouble concentrating?']"
"restlessness, irritability, fatigue, trouble_concentrating, muscle_tension",Anxiety ,"['Does anything help relieve your irritability?', 'Have you talked to anyone about your fatigue?', 'How do you usually cope with trouble concentrating?', 'How long have you experienced muscle tension?', 'Have you had professional help for restlessness before?']"
"rapid_heartbeat, trouble_concentrating, irritability, fatigue",Anxiety ,"['Do you notice irritability getting worse over time?', 'Have you talked to anyone about your trouble concentrating?', 'Does rapid heartbeat affect your daily functioning?', 'Have you talked to anyone about your fatigue?']"
"restlessness, shortness_of_breath, trouble_concentrating, irritability, muscle_tension, fatigue",Anxiety ,"['Have you had professional help for restlessness before?', 'Is shortness of breath interfering with your relationships or work?', 'Does irritability affect your daily functioning?', 'Does fatigue affect your daily functioning?', 'On a scale of 1 to 10, how severe is your muscle tension?']"
"fatigue, shortness_of_breath, irritability, restlessness, trouble_concentrating, rapid_heartbeat",Anxiety ,"['On a scale of 1 to 10, how severe is your rapid heartbeat?', 'Is there a specific event that triggered your fatigue?', 'On a scale of 1 to 10, how severe is your restlessness?', 'Do you notice irritability getting worse over time?', 'Have you had professional help for trouble concentrating before?']"
"feelings_of_hopelessness, marked_distress_out_of_proportion_to_the_severity_of_the_stressor, trouble_concentrating, insomnia, withdrawal_from_social_support",Adjustment Disorder,"['Have you talked to anyone about your insomnia?', 'Is there a specific event that triggered your withdrawal from social support?', 'Have you had professional help for feelings of hopelessness before?', 'Is there a specific event that triggered your marked distress out of proportion to the severity of the stressor?', 'Have you had professional help for trouble concentrating before?']"
"withdrawal_from_social_support, marked_distress_out_of_proportion_to_the_severity_of_the_stressor, anger_outbrusts, trouble_concentrating, feelings_of_hopelessness, insomnia",Adjustment Disorder,"['Do you notice feelings of hopelessness getting worse over time?', 'How long have you experienced insomnia?', 'On a scale of 1 to 10, how severe is your withdrawal from social support?', 'How long have you experienced marked distress out of proportion to the severity of the stressor?', 'How long have you experienced trouble concentrating?']"
"marked_distress_out_of_proportion_to_the_severity_of_the_stressor, anger_outbrusts, insomnia, trouble_concentrating, feelings_of_hopelessness",Adjustment Disorder,"['Have you had professional help for trouble concentrating before?', 'Is there a specific event that triggered your marked distress out of proportion to the severity of the stressor?', 'Have you had professional help for insomnia before?', 'How do you usually cope with anger outbrusts?', 'Have you talked to anyone about your feelings of hopelessness?']"
"withdrawal_from_social_support, feelings_of_hopelessness, anger_outbrusts, trouble_concentrating",Adjustment Disorder,"['Do you notice withdrawal from social support getting worse over time?', 'Have you talked to anyone about your anger outbrusts?', 'Do you notice trouble concentrating getting worse over time?', 'Does feelings of hopelessness affect your daily functioning?']"
"insomnia, anger_outbrusts, marked_distress_out_of_proportion_to_the_severity_of_the_stressor, trouble_concentrating, feelings_of_hopelessness",Adjustment Disorder,"['Is feelings of hopelessness interfering with your relationships or work?', 'Is marked distress out of proportion to the severity of the stressor interfering with your relationships or work?', 'Does anything help relieve your trouble concentrating?', 'Is there a specific event that triggered your insomnia?', 'Do you notice anger outbrusts getting worse over time?']"
"withdrawal_symptoms, using_more_of_the_substance, continued_use_despite_social_problems, inability_to_control, tolerance, giving_up_important_activites",Substance Use Disorder,"['How long have you experienced using more of the substance?', 'How long have you experienced withdrawal symptoms?', 'Have you had professional help for giving up important activites before?', 'Do you notice continued use despite social problems getting worse over time?', 'Does inability to control affect your daily functioning?']"
